City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.8961,-24.4956,72.57,72,0,12.28,clear sky
1,Huarmey,PE,-10.0681,-78.1522,70.32,85,57,7.52,broken clouds
2,Mahebourg,MU,-20.4081,57.7,81.25,85,98,21.52,light rain
3,Vardo,NO,70.3705,31.1107,21.49,90,100,25.81,light snow
4,Saint-Philippe,RE,-21.3585,55.7679,83.79,89,100,24.61,moderate rain
5,Ardakan,IR,32.31,54.0175,61.83,43,64,11.43,broken clouds
6,Palora,EC,-1.7,-77.9333,65.77,98,85,1.86,light rain
7,Mataura,NZ,-46.1927,168.8643,59.49,43,10,6.64,clear sky
8,Sobolevo,RU,54.4299,31.8996,1.92,100,100,7.4,overcast clouds
9,Albany,US,42.6001,-73.9662,14.76,85,99,3.22,overcast clouds
10,Kapaa,US,22.0752,-159.319,75.11,59,47,3.56,scattered clouds
11,Dunedin,NZ,-45.8742,170.5036,57.79,56,72,1.99,broken clouds
12,Pisco,PE,-13.7,-76.2167,67.01,88,0,0.0,clear sky
13,Swan Hill,AU,-35.3378,143.5544,83.91,22,63,8.46,broken clouds
14,Kariba,ZW,-16.5167,28.8,69.4,91,100,3.71,light rain
15,Breves,BR,-1.6822,-50.4803,73.33,97,100,2.98,light rain
16,Matagami,CA,49.7502,-77.6328,-10.71,98,100,2.82,overcast clouds
17,Yarim,YE,14.298,44.3779,53.28,70,13,2.35,few clouds
18,Fortuna,US,40.5982,-124.1573,45.52,93,75,0.0,broken clouds
19,San Quintin,MX,30.4833,-115.95,55.74,50,17,3.91,few clouds
20,Victor Harbor,AU,-35.5667,138.6167,86.79,53,87,11.63,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,44.26,87,0,5.75,clear sky
22,New Norfolk,AU,-42.7826,147.0587,72.88,48,85,1.99,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,78.98,69,5,7.52,clear sky
24,Busselton,AU,-33.65,115.3333,108.05,33,6,9.42,clear sky
25,Bluff,NZ,-46.6,168.3333,59.81,59,49,5.82,scattered clouds
26,Atuona,PF,-9.8,-139.0333,78.78,77,20,16.4,few clouds
27,Souillac,MU,-20.5167,57.5167,81.36,83,100,19.84,light rain
28,Westport,US,41.1415,-73.3579,30.02,86,100,4.0,overcast clouds
29,Mucurapo,TT,10.6667,-61.5333,75.25,84,0,7.56,clear sky
30,Saldanha,ZA,-33.0117,17.9442,61.77,71,1,8.19,clear sky
31,Punta Arenas,CL,-53.15,-70.9167,46.11,70,0,8.05,clear sky
32,Hobart,AU,-42.8794,147.3294,73.22,60,20,11.5,few clouds
33,Tiksi,RU,71.6872,128.8694,-22.16,98,73,7.45,broken clouds
34,Togur,RU,58.3631,82.8265,21.47,86,100,11.36,overcast clouds
35,Trogir,HR,43.5125,16.2517,48.79,81,0,5.75,clear sky
36,Yar-Sale,RU,66.8333,70.8333,-0.83,100,90,5.84,overcast clouds
37,East London,ZA,-33.0153,27.9116,69.04,88,95,11.86,light rain
38,Urdoma,RU,61.7533,48.5442,-9.36,100,96,2.64,overcast clouds
39,Vaini,TO,-21.2,-175.2,77.16,94,100,14.97,light rain
40,Matipo,BR,-20.2839,-42.3411,68.47,99,100,2.62,overcast clouds
